user_id,chat_id,language,number_messages,handling_time,start_time,website,website_summary
User 1495,8347,English,7,187.0,2018-05-30 11:59:48.422292,Website B,Website B
User 1495,8348,English,7,258.0,2018-05-30 11:25:15.111164,Website B,Website B
User 1495,8349,English,8,529.0,2018-05-30 10:40:38.255353,Website B,Website B
User 1495,8350,English,14,840.0,2018-05-30 12:08:16.612382,Website B,Website B
User 1495,8351,English,11,1283.0,2018-05-30 11:15:28.393306,Website B,Website B
User 1495,8352,English,11,1187.0,2018-05-30 13:19:34.501915,Website B,Website B
User 1495,8353,English,11,1196.0,2018-05-30 11:42:11.396181,Website B,Website B
User 1495,8354,English,14,494.0,2018-05-30 13:26:58.036125,Website B,Website B
User 1404,8355,English,7,482.0,2018-05-30 14:34:48.350862,Website B,Website B
User 1404,8356,English,23,895.0,2018-05-30 15:16:08.485758,Website B,Website B
User 1404,8357,English,4,138.0,2018-05-30 14:44:33.814357,Website B,Website B
User 1527,8358,English,19,1452.0,2018-05-30 15:05:44.153175,Website B,Website B
User 1404,8359,English,7,312.0,2018-05-30 14:02:28.417549,Website B,Website B
User 1404,8360,English,15,637.0,2018-05-30 16:07:59.015179,Website B,Website B
User 1404,8361,English,53,2286.0,2018-05-30 17:08:48.183210,Website B,Website B
User 1404,8362,English,13,524.0,2018-05-30 16:08:35.662766,Website B,Website B
User 1527,8363,English,18,739.0,2018-05-30 17:17:42.129241,Website B,Website B
User 1360,8364,English,6,401.0,2018-05-30 18:02:30.028473,Website B,Website B
User 1395,8366,English,18,838.0,2018-05-30 17:35:53.181856,Website B,Website B
User 1395,8367,English,38,2330.0,2018-05-30 19:03:41.150212,Website B,Website B
User 1395,8368,English,25,1995.0,2018-05-30 18:45:14.298070,Website B,Website B
User 1395,8369,English,11,458.0,2018-05-30 19:40:34.603258,Website B,Website B
User 1395,8370,English,32,1477.0,2018-05-30 21:01:47.870434,Website B,Website B
User 1449,8371,English,5,156.0,2018-05-30 21:56:16.309362,Website B,Website B
User 1505,8372,English,8,611.0,2018-05-31 01:04:15.728127,Website B,Website B
User 1505,8373,English,10,581.0,2018-05-31 01:08:56.726701,Website B,Website B
User 1404,8376,English,10,569.0,2018-05-31 09:01:38.403596,Website B,Website B
User 1404,8377,English,6,159.0,2018-05-31 10:10:18.643578,Website B,Website B
User 1404,8378,English,31,1422.0,2018-05-31 09:21:08.266526,Website B,Website B
User 1404,8379,English,12,537.0,2018-05-31 09:28:12.566114,Website B,Website B
User 1404,8380,English,18,771.0,2018-05-31 10:31:57.601383,Website B,Website B
User 1527,8381,English,17,1041.0,2018-05-31 09:19:15.112068,Website B,Website B
User 1404,8382,English,5,219.0,2018-05-31 09:06:04.065890,Website B,Website B
